NAME,2012,2014,2016,2018,2020,Change from 2012-2020,
Alabama,60.9,61.8,62.1,60.9,60.6,.3,
Alaska,75.9,77.3,76.1,69.5,65.7,10.2,
Arizona,67.5,66.4,63.5,58.7,54,13.5,
Arkansas,67,67,66.4,64.1,60.7,6.3,
California,63.3,62.4,60.6,56.4,52.4,10.9,
Colorado,62,60.7,59.3,54.2,51.5,10.5,
Connecticut,53.2,53,53.4,51.8,49.9,3.3,
Delaware,61.4,60.8,61.2,59.3,57,4.4,
Florida,59,59.7,59.7,57.4,53.4,5.6,
Georgia,62.4,62.2,61.1,58.4,55.7,6.7,
Hawaii,71.6,69.3,67.6,64.2,61.1,10.5,
Iowa,66.8,67.8,66.9,63.8,60.4,6.4,
Indiana,64.7,64.9,64.3,62.7,59.8,4.9,
Illinois,60.9,61.1,60.6,57.7,53.8,7.1,
Idaho,74.1,72.7,69.8,63.5,60.9,13.2,
Kansas,72.3,70,68.1,64.6,61.1,11.2,
Kentucky,65.4,65.8,65.4,63.6,60.8,4.6,
Louisiana,67,68.4,67.2,64.3,62.2,4.8,
Maine,53.9,54.3,54.9,53.2,49.2,4.7,
Maryland,60.8,61.5,61.3,60,57.7,3.1,
Minnesota,65.7,66.4,66.1,62.8,58.3,7.4,
Michigan,59.6,60.6,60.5,58.6,55.6,4,
Massachusetts,53.5,52.5,51.9,49.7,47.6,5.9,
Mississippi,64.2,64.4,63.7,63.1,61,3.2,
Missouri,64.3,64.1,63.8,62.5,58.7,5.6,
Montana,66.6,67,65.3,59.6,54.3,12.3,
Nebraska,72.3,73.6,72.2,68.5,64.7,7.6,
Nevada,63,63.3,62.6,60.3,54.8,8.2,
NewHampshire,50.3,50.5,50.9,49.2,47.7,2.6,
NewJersey,60.4,59.9,60.1,60.4,58.6,1.8,
NewMexico,67.8,65.5,62.7,58,54.6,13.2,
NewYork,59.7,59,58.6,58,54.6,5.1,
NorthCarolina,61,61,60.3,58.4,56.2,4.8,
NorthDakota,74.6,78.8,77.3,72.2,67.4,7.2, 
Ohio,62.8,63.1,62.8,61.2,58.3,4.5,
Oklahoma,70.5,69.9,68.4,64.6,61,9.5,
Oregon,59,58.7,57,51.5,47.8,11.2,
Pennsylvania,58.8,59.1,58.5,57,54.9,3.9,
RhodeIsland,51.7,51.5,51.8,50.5,48.7,3,
SouthCarolina,61.4,61.1,59.9,58.2,55.9,5.5,
SouthDakota,78.1,77.8,77.7,73.8,66.7,11.4,
Tennessee,62.6,63,62,61.1,58.5,4.1,
Texas,69.9,70.7,68.6,63.5,60.2,9.7,
Utah,83.1,80,76.2,68.5,64.1,19,
Vermont,51.6,52.9,50.3,47.4,44.7,6.9,
Virginia,61.7,61.3,61.1,59.3,55.8,5.9,
Washington,63.5,63.3,63,57.6,54,9.5,
WestVirginia,61.3,60.3,58.2,57.3,55.3,6,
Wisconsin,61.8,61.8,61.6,59,55.4,6.4,
Wyoming,69.5,69.4,67.2,60.9,56.4,13.1,
PuertoRico,0,0,0,0,0,0,
DistrictofColumbia,0,0,0,0,0,0,
